SUBJECT,FLOOR,AISLE,ROOM/DESCRIPTION,KEYWORDS
Gambling,2,14,,"Games, Addict, Addiction, Addicted"
Games (Card),2,13,,Games
Games (Non-Card),2,13,,Games
Games (Role Playing),2,13,,Games
Games (Video/Computer Game Books),2,13,,Games
Gandhi,2,65,,"India,"
Gardening,3,86-87,,"Gardening, Agriculture, Plants, Gardens, Nature, Growing, Planting,"
Gastroenterology,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Genealogy,2,10,,"Family Tree, Heritage, Ancestry"
General Biographies,3,55-63,,"Bios, "
General Catholicism,4,67-68,,"Religion,"
General Christianity,4,63-65,,"Religion,"
